Dimension,avg_Encrypt_Time,avg_Decrypt_Time_Good,avg_Success_Good,avg_Decrypt_Time_Bad,avg_Success_Bad
2,0.0004376888275146484,3.530263900756836e-05,100.0,0.0016897726058959961,100.0
3,0.00029776096343994143,3.3512115478515626e-05,100.0,0.0012602806091308594,100.0
4,0.00022394657135009765,3.0014514923095703e-05,100.0,0.0010626578330993652,100.0
5,0.0001909327507019043,3.071784973144531e-05,100.0,0.0009958624839782714,100.0
6,0.00016773700714111327,2.9566287994384767e-05,100.0,0.0009929060935974122,100.0
7,0.00015408754348754882,2.8884410858154298e-05,100.0,0.0009902334213256836,100.0
8,0.0001348567008972168,2.8710365295410157e-05,100.0,0.0009764432907104492,100.0
9,0.0001310563087463379,2.8538703918457032e-05,100.0,0.0010445284843444824,100.0
10,0.00012049198150634766,2.793312072753906e-05,100.0,0.0010332775115966797,100.0
11,0.0001180410385131836,2.902984619140625e-05,100.0,0.001122903823852539,100.0
12,0.00010842084884643555,2.845287322998047e-05,100.0,0.0011234593391418457,100.0
13,0.00010936975479125977,3.0317306518554687e-05,100.0,0.001242086887359619,100.0
14,0.00010413885116577149,2.9523372650146484e-05,100.0,0.001286451816558838,100.0
15,9.844303131103515e-05,2.8700828552246093e-05,100.0,0.001302788257598877,100.0
16,9.443044662475586e-05,2.8862953186035157e-05,100.0,0.0013524222373962403,100.0
17,9.053230285644532e-05,2.902984619140625e-05,100.0,0.001413247585296631,100.0
18,9.200811386108399e-05,2.9485225677490235e-05,100.0,0.0015461301803588866,100.0
19,8.928060531616212e-05,2.8996467590332032e-05,100.0,0.0015909862518310547,100.0
20,8.283138275146485e-05,2.765178680419922e-05,100.0,0.0015807557106018067,100.0
21,8.492708206176757e-05,2.9060840606689453e-05,100.0,0.0017335128784179688,100.0
22,8.85629653930664e-05,3.0372142791748047e-05,100.0,0.0019266414642333985,100.0
23,8.184432983398437e-05,2.9239654541015625e-05,100.0,0.00189194917678833,100.0
24,8.463382720947266e-05,3.0052661895751952e-05,100.0,0.0020801591873168945,100.0
25,7.731199264526367e-05,2.7573108673095704e-05,100.0,0.0019792723655700684,100.0
26,7.852077484130859e-05,2.87628173828125e-05,100.0,0.002135920524597168,100.0
27,8.168458938598633e-05,3.0040740966796875e-05,100.0,0.002301628589630127,100.0
28,8.219718933105469e-05,3.0293464660644532e-05,100.0,0.002469618320465088,100.0
29,7.364511489868164e-05,2.8667449951171874e-05,100.0,0.0023657727241516114,100.0
30,7.846832275390625e-05,2.974987030029297e-05,100.0,0.002553753852844238,100.0
31,7.772207260131836e-05,3.0243396759033202e-05,100.0,0.00269381046295166,100.0
32,7.859230041503906e-05,3.1325817108154294e-05,100.0,0.0032680130004882815,100.0
33,8.124589920043945e-05,3.253459930419922e-05,100.0,0.0035385799407958982,100.0
34,7.193326950073242e-05,2.889871597290039e-05,100.0,0.0032581400871276854,100.0
35,7.17926025390625e-05,2.901792526245117e-05,100.0,0.003491413593292236,100.0
36,7.570981979370117e-05,2.999067306518555e-05,100.0,0.0036927103996276856,100.0
37,7.447004318237305e-05,3.060817718505859e-05,100.0,0.003900885581970215,100.0
38,7.572412490844727e-05,3.148078918457031e-05,100.0,0.00413400411605835,100.0
39,7.766008377075196e-05,3.197908401489258e-05,100.0,0.004319572448730468,100.0
40,6.65879249572754e-05,2.7334690093994142e-05,100.0,0.003948829174041748,100.0
41,6.924152374267579e-05,2.8803348541259766e-05,100.0,0.004156374931335449,100.0
42,7.01618194580078e-05,2.8705596923828126e-05,100.0,0.004369132518768311,100.0
43,7.145166397094727e-05,2.9795169830322265e-05,100.0,0.00461979866027832,100.0
44,7.03883171081543e-05,2.9766559600830077e-05,100.0,0.004828372001647949,100.0
45,7.340431213378906e-05,3.094911575317383e-05,100.0,0.005093474388122559,100.0
46,8.008718490600587e-05,3.279685974121094e-05,100.0,0.005499837398529053,100.0
47,7.459163665771485e-05,3.174781799316406e-05,100.0,0.005616247653961182,100.0
48,7.511377334594727e-05,3.407955169677734e-05,100.0,0.005821621417999268,100.0
49,7.748842239379883e-05,3.397703170776367e-05,100.0,0.006129119396209717,100.0
50,6.435155868530274e-05,2.7675628662109375e-05,100.0,0.005472002029418946,100.0
51,6.665945053100585e-05,2.814292907714844e-05,100.0,0.005641617774963379,100.0
52,8.010149002075196e-05,2.9795169830322265e-05,100.0,0.006271469593048096,100.0
53,6.803274154663086e-05,2.9227733612060548e-05,100.0,0.006080465316772461,100.0
54,6.867408752441407e-05,2.971649169921875e-05,100.0,0.006309418678283691,100.0
55,7.220745086669922e-05,3.1497478485107425e-05,100.0,0.006765482425689698,100.0
56,7.142543792724609e-05,3.1554698944091796e-05,100.0,0.006852216720581054,100.0
57,7.181167602539062e-05,3.2312870025634766e-05,100.0,0.007220199108123779,100.0
58,7.188081741333008e-05,3.207921981811524e-05,100.0,0.007492594718933106,100.0
59,7.102489471435546e-05,3.1948089599609375e-05,100.0,0.007743451595306396,100.0
60,7.643938064575196e-05,3.2765865325927736e-05,100.0,0.008219566345214844,100.0
61,7.395505905151367e-05,3.394126892089844e-05,100.0,0.008464593887329102,100.0
62,7.505178451538086e-05,3.425121307373047e-05,100.0,0.008742203712463379,100.0
63,7.581472396850586e-05,3.453731536865235e-05,100.0,0.009142601490020752,100.0
64,7.810592651367188e-05,3.474235534667969e-05,100.0,0.009415853023529052,100.0
65,7.984399795532226e-05,3.572702407836914e-05,100.0,0.009813058376312255,100.0
66,7.939815521240234e-05,3.554105758666992e-05,100.0,0.006102290153503418,100.0
67,6.311416625976563e-05,2.800464630126953e-05,100.0,0.008739516735076905,100.0
68,6.303071975708008e-05,2.799034118652344e-05,100.0,0.009151303768157959,100.0
69,6.367921829223632e-05,2.773284912109375e-05,100.0,0.00933603048324585,100.0
70,6.512641906738282e-05,2.8760433197021483e-05,100.0,0.009724128246307372,100.0
71,6.447553634643555e-05,2.9201507568359376e-05,100.0,0.01004596710205078,100.0
72,6.622791290283202e-05,2.9630661010742188e-05,100.0,0.010376965999603272,100.0
73,6.563425064086915e-05,3.053665161132813e-05,100.0,0.010633847713470458,100.0
74,6.824970245361328e-05,3.103733062744141e-05,100.0,0.011097855567932129,100.0
75,6.739377975463868e-05,3.1065940856933596e-05,100.0,0.011448495388031006,100.0
76,6.906747817993164e-05,3.111839294433594e-05,100.0,0.011803042888641358,100.0
77,7.203340530395508e-05,3.316164016723633e-05,100.0,0.012297887802124024,100.0
78,7.665872573852538e-05,3.2782554626464844e-05,100.0,0.012647418975830079,100.0
79,7.342100143432617e-05,3.2486915588378904e-05,100.0,0.01299851417541504,100.0
80,7.40361213684082e-05,3.4024715423583986e-05,100.0,0.013433632850646972,100.0
81,7.597684860229493e-05,3.396034240722656e-05,100.0,0.013845133781433105,100.0
82,7.509231567382812e-05,3.381013870239258e-05,100.0,0.014279391765594483,100.0
83,7.793903350830078e-05,3.451824188232422e-05,100.0,0.014893219470977784,100.0
84,9.108781814575196e-05,3.6163330078125e-05,100.0,0.016309638023376465,100.0
85,8.307218551635742e-05,3.5564899444580075e-05,100.0,0.0159269118309021,100.0
